"Variable","Level","Mean","SE_mean","z_mean","p_value","CI_low","CI_high","SD_random","SE_SD"
"PhysicalActivities","Rare",-0.491229611398692,0.0491292881761885,-9.99871216609193,0,-0.587523016224021,-0.394936206573362,1.4734805929617,0.13532046092695
"PhysicalActivities","Sometimes",-0.291810268049612,0.037152591804002,-7.85437176466861,3.99680288865056e-15,-0.364629347985455,-0.218991188113768,1.23002128875242,0.100262616291029
"PhysicalActivities","Quite_often",-0.32438861920655,0.043290338953446,-7.49332592556955,6.70574706873595e-14,-0.409237683555305,-0.239539554857796,1.2359672088508,0.120507894688727
