"Group","Point","SE","CI_low","CI_high"
"High trust",-0.0869425410829522,0.0291734209981139,-0.144122446239255,-0.0297626359266489
"Low trust",-0.108122443057244,0.0415752631967316,-0.189609958922838,-0.0266349271916495
